Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-131,12.8687,77.57734,,,,,,,,
Broadcom,Narayana Nagar Park-2,,Bommanahalli Zone,,,B-132,12.87169,77.55539,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-133,12.873,77.56395,,,,,,,,
Broadcom,Narayana Nagar Park-2,,Bommanahalli Zone,,,B-134,12.87153,77.55545,,,,,,,,
Broadcom,Narayana Nagar Park-2,,Bommanahalli Zone,,,B-135,12.87172,77.55548,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-183,13.09199,77.56509,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-184,13.09207,77.5651,,,,,,,,
Broadcom,Narayana Nagar Park-2,,Bommanahalli Zone,,,B-136,12.87205,77.55555,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-190,13.09567,77.56624,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-191,13.09562,77.56611,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-192,13.09576,77.5663,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-193,13.09582,77.56633,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-196,13.09615,77.5664,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-198,13.09617,77.56618,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-199,13.09621,77.56623,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-201,13.09608,77.56636,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-203,13.09592,77.5666,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-204,13.09593,77.56709,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-205,13.09594,77.56749,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-206,13.09595,77.56761,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-207,13.09597,77.56783,,,,,,,,
Broadcom,Narayana Nagar Park-2,,Bommanahalli Zone,,,B-137,12.87206,77.55568,,,,,,,,
Broadcom,Royal County Park-2,,Bommanahalli Zone,,,B-14,12.86867,77.57747,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-226,13.09201,77.56403,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-227,13.09206,77.56402,,,,,,,,
Broadcom,Horticuture university,,Yelahanka zone,,,B-228,13.09214,77.56402,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-53,13.09014,77.56078,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-54,13.09007,77.56076,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-55,13.08999,77.56075,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-57,13.08928,77.56068,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-58,13.08927,77.56077,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-59,13.08925,77.56086,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-60,13.08923,77.561,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-61,13.08922,77.56106,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-62,13.0892,77.56111,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-63,13.08918,77.56121,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-65,13.08911,77.56145,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-66,13.08908,77.56158,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-67,13.08904,77.56175,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-68,13.08898,77.56191,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-70,13.08894,77.56211,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-87,13.08932,77.5606,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-88,13.09183,77.56089,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-89,13.09182,77.56079,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-90,13.09188,77.56046,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-56,13.09131,77.56171,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-64,13.0912,77.56171,,,,,,,,
Caterpiller,Horticuture university,,Yelahanka zone,,,CAT-69,13.09231,77.56405,,,,,,,,
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-192,13.09945,77.58318,,,,,,,,
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-193,13.09924,77.58305,,,,,,,,
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-194,13.09895,77.58269,,,,,,,,
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-196,13.09931,77.58297,,,,,,,,
